Date	Observation
606	-0.32016064
603	-0.19148594
600	-0.23365462
597	-0.015060241
594	-0.20646586
591	-0.14666667
588	-0.23461847
585	-0.043574297
582	0.10670683
579	-0.26485944
576	-0.59690763
573	-0.6786747
570	-0.6797992
567	-0.5715261
564	-0.46429719
561	-0.22710843
558	0.02060241
555	0.22891566
552	0.2764257
549	0.27481928
546	0.17413655
543	-0.006546185
540	-0.01811245
537	0.090200803
534	0.28783133
531	-0.05502008
528	-0.2375502
525	-0.2702008
522	-0.38176707
519	-0.12329317
516	-0.14518072
513	-0.066626506
510	-0.1173494
507	-0.1673494
504	-0.33718876
501	-0.56485944
498	-0.57052209
495	-0.48686747
492	-0.44429719
489	-0.44389558
486	-0.49365462
483	-0.54301205
480	-0.54405622
477	-0.44502008
474	-0.30502008
471	-0.27558233
468	-0.16566265
465	-0.025702811
462	0.063534137
459	0.072931727
456	0.14309237
453	0.24457831
450	0.29586345
447	0.055983936
444	0.32698795
441	0.2964257
438	0.34381526
435	0.29248996
432	0.24080321
429	0.07060241
426	0.060763052
423	0.35144578
420	0.65168675
417	0.19180723
414	-0.33080321
411	-0.70473896
408	-0.89831325
405	-0.85200803
402	-0.86502008
399	-0.64714859
396	-0.47851406
393	-0.51048193
390	-0.41353414
387	-0.16578313
384	-0.076305221
381	0.043935743
378	0.10710843
375	0.089919028
372	0.22979592
369	0.22954733
366	0.17929461
363	0.28112971
360	0.44531646
357	0.37714894
354	0.51643777
351	0.4647619
348	0.32117904
345	0.69920705
342	0.79853333
339	0.90896861
336	0.24036199
333	-0.54671233
330	-0.75317972
327	-1.0990698
324	-0.61450704
321	-0.64938389
318	-0.26320574
315	-0.51797101
312	-0.24365854
309	-0.017980296
306	-0.11363184
303	-0.026532663
300	0.061878173
297	0.17974359
294	0.077927461
291	-0.043298429
288	-0.24042328
285	-0.37754011
282	-0.31172973
279	0.13918033
276	0.2118232
273	0.28240223
270	0.54248588
267	0.53354286
264	0.38040462
261	0.40725146
258	0.54579882
255	0.36389222
252	0.43818182
249	0.44128834
246	0.28521739
243	0.058050314
240	-0.29898089
237	-0.53354839
234	-0.18568627
231	0.014304636
228	0.21597315
225	0.21741497
222	0.19075862
219	0.11433566
216	-0.38425532
213	-0.47208633
210	-0.63671533
207	-0.43503704
204	-0.43887218
201	-0.62122137
198	-0.49984496
195	-0.035433071
192	0.1632
189	0.093577236
186	0.1661157
183	0.2487395
180	0.39444444
177	0.44173913
174	0.24973451
171	0.38423423
168	0.51073394
165	0.48252336
162	0.44904762
159	0.44951456
156	0.45465347
153	0.5010101
150	0.31123711
147	0.54936842
144	0.63064516
141	0.59659341
138	0.46977528
135	0.33977011
132	0.43694118
129	-0.003975904
126	-0.4445679
123	-0.71113924
120	-0.58246753
117	-0.53546667
114	-0.66041096
111	-0.86704225
108	-0.52043478
105	-0.38791045
102	-0.53553846
99	-0.63539683
96	-0.64278689
93	-0.59745763
90	-0.41473684
87	-0.32545455
84	-0.35849057
81	-0.70098039
78	-0.66040816
75	-0.35
72	-0.47911111
69	-0.045348837
66	0.29073171
63	0.18692308
60	0.40216216
57	0.32257143
54	0.18818182
51	0.084193548
48	0.083103448
45	0.052962963
42	0.0228
39	0.072608696
36	-0.090952381
33	0.045263158
30	0.069411765
27	0.052666667
24	0.20153846
21	0.18636364
18	0.36888889
15	0.29857143
12	0.096
9	0.14333333
6	0
